ID,pKa_pred,pKa_real
11gs,5.900,5.820
13gs,5.179,4.620
16pk,5.205,5.220
1a08,5.374,5.620
1a0q,7.855,7.570
1a0t,1.360,1.300
1a1b,5.964,6.400
1a1c,6.202,6.400
1a37,7.107,6.920
1a42,10.212,9.890
1a4h,5.914,5.920
1a4m,12.906,13.000
1a50,6.449,6.700
1a52,10.156,9.860
1a5h,6.351,6.300
1a7c,3.896,4.000
1a7t,1.574,1.640
1a7x,9.230,9.700
1a8i,5.480,5.520
1a8t,5.602,5.800
1abf,5.490,5.420
1abt,5.846,5.850
1af2,3.393,3.100
1af6,1.891,1.820
1ag9,9.435,9.000
1agm,11.668,12.000
1ahx,4.081,3.920
1ahy,3.184,3.360
1ai6,3.572,3.970
1aj6,5.836,5.920
1akq,8.951,9.100
1akr,8.877,9.090
1akt,8.084,8.490
1aku,5.825,6.130
1akv,11.734,11.590
1akw,8.657,8.590
1al7,7.546,7.800
1al8,5.277,5.320
1anf,5.315,5.460
1ao0,4.776,4.960
1apb,5.767,5.820
1apw,7.714,8.000
1aqc,4.939,5.340
1aqi,5.752,5.620
1aqj,6.496,6.470
1at5,4.148,4.190
1at6,4.276,4.070
1avd,15.782,15.000
1aw1,1.172,1.050
1awi,4.103,4.050
1ax1,3.283,3.290
1ax2,3.925,3.990
1axr,3.131,3.270
1axs,7.632,7.770
1axz,3.312,3.200
1aze,4.201,4.220
1azg,4.787,4.800
1azl,8.560,8.620
1azx,9.403,9.400
1b11,7.677,7.390
1b2m,3.678,3.730
1b39,7.080,6.920
1b42,3.827,4.010
1b4d,4.811,4.810
1b56,5.997,6.100
1b6m,8.522,8.400
1b74,1.330,1.300
1bap,6.686,6.850
1bbz,6.035,5.820
1bcj,3.684,3.700
1bdl,5.804,5.850
1bdr,6.740,6.680
1bkj,7.354,6.770
1bky,3.777,3.840
1bm6,7.700,7.890
1bmm,7.082,7.100
1bmn,8.856,8.440
1bnm,10.525,10.000
1bo5,3.945,3.600
1bq3,5.568,5.400
1br5,2.418,2.700
1br8,4.746,4.740
1bra,2.093,1.820
1bsk,4.107,4.120
1bt6,6.008,5.700
1btn,4.491,4.400
1bux,4.948,4.850
1bwn,7.433,7.060
1bxl,6.724,6.470
1bzf,7.941,8.300
1bzh,6.869,6.770
1c12,8.560,8.720
1c2t,6.886,6.590
1c3e,6.664,6.590
1c4v,11.183,10.800
1c4y,8.029,7.920
1c5z,4.077,4.010
1c6y,9.409,9.510
1c7e,6.031,6.300
1c7f,9.764,9.520
1c85,4.687,4.640
1caq,8.197,7.720
1cbr,8.921,9.400
1ce5,4.846,4.740
1cea,5.009,4.960
1ch8,7.232,7.000
1ci7,6.739,7.050
1cil,9.699,9.430
1cim,9.105,8.820
1cin,9.101,8.730
1clu,8.275,8.270
1cr6,8.468,8.510
1csh,8.067,7.550
1csi,8.764,8.800
1csr,7.465,7.380
1css,6.157,6.100
1ct8,6.247,6.520
1ctr,5.789,6.000
1cwb,7.733,7.890
1cyn,7.971,7.680
1czc,2.933,2.820
1cze,2.380,2.620
1czk,9.036,8.820
1czl,9.509,9.150
1czo,4.425,4.550
1czr,9.363,9.000
1d04,5.068,4.590
1d1p,3.402,3.600
1d2s,9.752,9.740
1d3q,6.851,6.540
1d3v,6.775,6.960
1d4t,6.321,6.190
1d4w,6.973,6.920
1d5r,1.998,1.820
1d6n,4.329,4.500
1d6s,4.260,4.110
1db1,9.447,9.260
1dbb,8.345,9.000
1ddm,6.137,5.770
1dfo,7.316,6.700
1dg9,2.734,2.740
1dis,11.255,11.000
1dkd,5.664,5.700
1dmb,5.799,5.740
1dpu,5.744,6.000
1dqx,10.653,11.050
1dub,5.435,5.800
1dva,8.389,8.070
1dwc,7.560,7.410
1dwd,8.969,8.180
1dxp,7.178,7.570
1e03,9.590,9.400
1e55,3.786,4.120
1e5a,8.075,7.640
1e72,2.954,3.220
1e8h,5.964,5.680
1eb1,11.076,10.430
1ebg,10.754,10.820
1eix,10.449,11.060
1ek1,7.406,7.770
1ek2,8.284,8.200
1els,10.403,10.820
1ent,7.155,6.960
1eoj,13.013,13.770
1eol,13.003,13.420
1esz,6.648,6.520
1ets,8.778,8.220
1ett,5.843,5.890
1etz,6.732,7.240
1eub,9.219,8.720
1ewj,7.338,7.490
1f28,8.122,7.800
1f2o,2.141,1.910
1f2p,2.040,1.900
1f3j,5.032,5.220
1f40,5.678,6.000
1f47,4.896,4.670
1f4y,6.188,6.080
1f8a,5.000,5.000
1f90,7.671,7.920
1f92,6.268,6.190
1f9g,1.358,1.280
1fax,7.734,7.390
1fbm,5.941,6.220
